epoch,acc,loss,val_acc,val_loss
0,0.66382796,0.9685182252725746,0.8189956545829773,0.5444906936462269
1,0.8361175,0.5208719236216361,0.8596069812774658,0.42163378406299773
2,0.8619391,0.4277313773594825,0.8895196318626404,0.343367166446286
3,0.8784256,0.38207764054297466,0.8960698843002319,0.31890817115400555
4,0.88115513,0.3602334282448724,0.8930131196975708,0.32054235289711097
5,0.8889617,0.3415578991135651,0.9054585099220276,0.30026388772189877
6,0.8942024,0.3294991370254318,0.9106987118721008,0.2921529384159105
7,0.89977074,0.3158320783495005,0.9100436568260193,0.283577281627072
8,0.90195435,0.3044440484922882,0.9089519381523132,0.2899114271959363
9,0.90260947,0.3025578216429243,0.9148471355438232,0.274517537855165
10,0.90441096,0.29349669464968065,0.9122270941734314,0.27718926967491747
11,0.90375584,0.29543169188761714,0.9161571860313416,0.2697177222722483
12,0.9073043,0.2872274320453441,0.9126637578010559,0.26478632363169474
13,0.90823233,0.2808418179262165,0.9159388542175293,0.26569453378952224
14,0.9084507,0.27477709730680966,0.9161571860313416,0.26376385509186956
15,0.90888745,0.27459604708710306,0.9128820896148682,0.2649359187184463
16,0.9101976,0.2704878733536603,0.9115720391273499,0.263789861040865
17,0.912545,0.27070418631474724,0.9150655269622803,0.2640291096341662
18,0.910143,0.2697372206010169,0.9152838587760925,0.2597630441709377
19,0.9144011,0.25510133497351084,0.9170305728912354,0.26129831882543436
